,index,Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Negative feedback,Lifetime Negative Feedback from Users,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length
907,63,171162119680585_795444380585686,https://www.facebook.com/TarletonCOGS/posts/795444380585686:0,APA writing guidelines?  Save this website as your go-to resource! http://buff.ly/1RkrqaD,Photo,,,5/25/16 6:46 AM, ,205,205,0,453,453,0,4,3,4,0,0,446,198,0,0,4,0,0,0,0,0,0,0,0,0,0
908,64,171162119680585_795436303919827,https://www.facebook.com/TarletonCOGS/posts/795436303919827,Identify your top 5 skills with StrengthsQuest.  Available to TSU students/employees.  More: http://buff.ly/1NGZKCn,Link,,,5/24/16 4:27 PM, ,167,66,0,1581,1368,0,9,8,11,0,0,131,61,0,0,4,0,0,0,0,0,0,0,0,0,0
909,65,171162119680585_795434497253341,https://www.facebook.com/TarletonCOGS/posts/795434497253341,These 20 books are game changers - even if you're over 30 ;)   Put reading one on your to-do list today!  http://buff.ly/1NGYL50,Link,,,5/24/16 6:20 AM, ,300,287,0,1920,1886,0,26,25,27,2,2,543,280,0,0,24,0,0,0,0,0,0,0,0,0,0
910,66,171162119680585_795431643920293,https://www.facebook.com/TarletonCOGS/posts/795431643920293,Filed your FAFSA?  Check out the SAR report for a summary of your provided info.  More here: http://buff.ly/1RkmjY7,Link,,,5/23/16 4:12 PM, ,48,48,0,1456,1456,0,0,0,0,0,0,92,41,0,0,0,0,0,0,0,0,0,0,0,0,0
911,67,171162119680585_1165186040193138,https://www.facebook.com/events/1165186040193138/,"Learn about the grad school admissions process, hear grad students and alumni discuss their Tarleton experience, discover strategies for GRE success as presented by The Princeton Review, and meet current faculty, staff, and students!",Status,,,5/23/16 10:07 AM, ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
912,68,171162119680585_795421120588012,https://www.facebook.com/TarletonCOGS/posts/795421120588012:0,Graduating this August? Today is the deadline to apply if you want to walk!,Photo,,,5/23/16 6:48 AM, ,229,212,0,1896,1862,0,4,3,7,0,0,507,208,0,0,4,0,0,0,0,0,0,0,0,0,0
913,69,171162119680585_792473780882746,https://www.facebook.com/TarletonCOGS/posts/792473780882746:0,Have a great weekend!,Photo,,,5/20/16 2:45 PM, ,166,159,0,468,459,0,6,3,4,0,0,319,153,0,0,6,0,0,0,0,0,0,0,0,0,0
914,70,171162119680585_792464410883683,https://www.facebook.com/TarletonCOGS/posts/792464410883683,How will you be funding your graduate education?  Learn more about payment options here: http://buff.ly/1ZXSy5B,Link,,,5/20/16 5:35 AM, ,29,29,0,105,105,0,1,0,0,0,0,89,22,0,0,1,0,0,0,0,0,0,0,0,0,0
915,71,171162119680585_792462120883912,https://www.facebook.com/TarletonCOGS/posts/792462120883912,Get to know more about the history of Tarleton's landmarks.  http://buff.ly/1rPkE8d,Link,,,5/19/16 3:26 PM, ,294,203,0,509,411,0,11,7,10,0,0,397,196,0,0,9,0,0,0,0,0,0,0,0,0,0
916,72,171162119680585_792461177550673,https://www.facebook.com/TarletonCOGS/posts/792461177550673,"""Tarleton College"" in 1899. https://www.facebook.com/TracesofTexas/photos/a.162532927112178.34097.105810232784448/560835963948537/?type=3&theater",Photo,,,5/19/16 6:22 AM, ,426,220,0,683,421,0,24,14,24,0,0,420,220,0,0,18,0,0,0,0,0,0,0,0,0,0
